"weight";"word";"color";"url"
"20";"Media Arts";"";""
"17";"worship";"#7546E0";"https://www.lorem.com"
"16";"service";"#E70B0B";""
"15";"music";"#0AE26A";"https://www.ipsum.com"
"14";"word of God";"#F30C0C";""
"13";"audio";"#0A14DB";""
"13";"beauty";"#E67F10";""
"13";"video";"#D91094";""
"12";"livestream";"#0EBF3B";""
"7";"playlist";"#0DB8DE";""
"6";"camera";"#E3AD09";""
"6";"colour";"#3418DC";""
"6";"cue";"#99960C";""
"6";"practice";"#619BE1";""
"6";"prepared";"#EC09DC";""
"6";"rythm";"#CD16D5";""
"6";"scripture";"#E9A009";""
"5";"script";"#3D1254";""
"4";"ministry";"#07E22E";""
